Month,Plot,Species,Tree,Tree2,HorL,LorR,#leaflets,existing,missing,prop,propmod,total,logit2,#areas,comments
May,3,hybrid,1-Mar,3.1,H,1,10,3402515,0,0,3.66E-05,3402515,-4.436392651,0,
May,3,hybrid,1-Mar,3.1,H,4,11,4368415,0,0,3.66E-05,4368415,-4.436392651,0,
May,3,hybrid,1-Mar,3.1,L,1,9,3947730,0,0,3.66E-05,3947730,-4.436392651,0,omitted 2 small leaflets
May,3,hybrid,1-Mar,3.1,L,2,9,3841976,0,0,3.66E-05,3841976,-4.436392651,0,
May,3,hybrid,1-Mar,3.1,L,3,8,3254839,0,0,3.66E-05,3254839,-4.436392651,0,
July,3,hybrid,2-Mar,3.2,L,1,11,4590856,0,0,3.66E-05,4590856,-4.436392651,0,
July,3,nigra,3-Mar,3.3,H,3,11,3924471,0,0,3.66E-05,3924471,-4.436392651,0,
July,3,nigra,3-Mar,3.3,L,4,9,3393513,0,0,3.66E-05,3393513,-4.436392651,0,
May,3,pennsylvanica,4-Mar,,H,L,7,2156002,0,0,3.66E-05,2156002,-4.436392651,0,
May,3,pennsylvanica,4-Mar,,H,4,7,2975450,0,0,3.66E-05,2975450,-4.436392651,0,
May,3,pennsylvanica,4-Mar,,L,R,5,1201876,0,0,3.66E-05,1201876,-4.436392651,0,
May,3,pennsylvanica,4-Mar,,L,L,5,1750909,0,0,3.66E-05,1750909,-4.436392651,0,
May,3,nigra,5-Mar,,H,L,11,2301951,0,0,3.66E-05,2301951,-4.436392651,0,
May,3,nigra,5-Mar,,H,R,9,1874551,0,0,3.66E-05,1874551,-4.436392651,0,
May,3,nigra,5-Mar,,H,3,11,3295494,0,0,3.66E-05,3295494,-4.436392651,0,
May,3,nigra,5-Mar,,L,L,9,2913019,0,0,3.66E-05,2913019,-4.436392651,0,
May,3,nigra,5-Mar,,L,R,9,756031,0,0,3.66E-05,756031,-4.436392651,0,
May,3,mandshurica,6-Mar,,H,1,11,4011067,0,0,3.66E-05,4011067,-4.436392651,0,
May,3,mandshurica,6-Mar,,H,4,11,3533114,0,0,3.66E-05,3533114,-4.436392651,0,
May,3,mandshurica,6-Mar,,L,3,6,2547622,0,0,3.66E-05,2547622,-4.436392651,0,omitted 1 underdeveloped leaflet
July,3,mandshurica,7-Mar,,H,3,8,4344146,0,0,3.66E-05,4344146,-4.436392651,0,
July,3,mandshurica,7-Mar,,L,2,10,2364618,0,0,3.66E-05,2364618,-4.436392651,0,
July,3,mandshurica,7-Mar,,L,3,9,3116141,0,0,3.66E-05,3116141,-4.436392651,0,
July,3,pennsylvanica,8-Mar,,H,L,5,1998063,0,0,3.66E-05,1998063,-4.436392651,0,
July,3,pennsylvanica,8-Mar,,H,R,5,1872066,0,0,3.66E-05,1872066,-4.436392651,0,
July,3,pennsylvanica,8-Mar,,H,L,5,1883738,0,0,3.66E-05,1883738,-4.436392651,0,
July,3,pennsylvanica,8-Mar,,H,R,4,2126748,0,0,3.66E-05,2126748,-4.436392651,0,
July,3,pennsylvanica,8-Mar,,L,4,6,2533834,0,0,3.66E-05,2533834,-4.436392651,0,
July,4,mandshurica,1-Apr,,H,1,7,4181668,0,0,3.66E-05,4181668,-4.436392651,0,
July,4,mandshurica,1-Apr,,L,4,7,2088846,0,0,3.66E-05,2088846,-4.436392651,0,omitted 2 runt leaves
May,4,hybrid,2-Apr,,H,2,11,4122473,0,0,3.66E-05,4122473,-4.436392651,0,
May,4,hybrid,2-Apr,,H,4,11,4008058,0,0,3.66E-05,4008058,-4.436392651,0,
May,4,hybrid,2-Apr,,L,2,9,3931223,0,0,3.66E-05,3931223,-4.436392651,0,
May,4,hybrid,2-Apr,,L,3,11,3009218,0,0,3.66E-05,3009218,-4.436392651,0,
May,4,pennsylvanica,3-Apr,,H,UL,5,708704,0,0,3.66E-05,708704,-4.436392651,0,
May,4,pennsylvanica,3-Apr,,H,LL,7,1225924,0,0,3.66E-05,1225924,-4.436392651,0,
May,4,pennsylvanica,3-Apr,,L,R,7,1665252,0,0,3.66E-05,1665252,-4.436392651,0,
May,4,pennsylvanica,3-Apr,,L,R,5,1376419,0,0,3.66E-05,1376419,-4.436392651,0,
July,4,nigra,4-Apr,,L,2,10,4323601,0,0,3.66E-05,4323601,-4.436392651,0,
July,4,hybrid,5-Apr,,H,3,9,4985089,0,0,3.66E-05,4985089,-4.436392651,0,
July,4,hybrid,5-Apr,,L,4,11,4098587,0,0,3.66E-05,4098587,-4.436392651,0,
May,4,nigra,6-Apr,,H,2,9,2170738,0,0,3.66E-05,2170738,-4.436392651,0,
May,4,nigra,6-Apr,,H,3,11,3705473,0,0,3.66E-05,3705473,-4.436392651,0,
May,4,nigra,6-Apr,,L,R,9,1089981,0,0,3.66E-05,1089981,-4.436392651,0,
May,4,nigra,6-Apr,,L,L,10,2441452,0,0,3.66E-05,2441452,-4.436392651,0,
May,4,nigra,6-Apr,,L,R,9,1883505,0,0,3.66E-05,1883505,-4.436392651,0,
May,4,mandshurica,7-Apr,,H,2,11,2838112,0,0,3.66E-05,2838112,-4.436392651,0,
May,4,mandshurica,7-Apr,,H,3,11,4387145,0,0,3.66E-05,4387145,-4.436392651,0,
May,4,mandshurica,7-Apr,,H,4,11,3554119,0,0,3.66E-05,3554119,-4.436392651,0,
May,4,mandshurica,7-Apr,,L,1,11,2599490,0,0,3.66E-05,2599490,-4.436392651,0,
May,4,mandshurica,7-Apr,,L,2,11,3178155,0,0,3.66E-05,3178155,-4.436392651,0,
May,4,mandshurica,7-Apr,,L,3,11,3696314,0,0,3.66E-05,3696314,-4.436392651,0,
July,4,pennsylvanica,8-Apr,,H,R,5,1635407,0,0,3.66E-05,1635407,-4.436392651,0,
July,4,pennsylvanica,8-Apr,,H,L,6,2182284,0,0,3.66E-05,2182284,-4.436392651,0,
July,4,pennsylvanica,8-Apr,,L,L,5,1915334,0,0,3.66E-05,1915334,-4.436392651,0,
July,4,pennsylvanica,8-Apr,,L,R,7,2123074,0,0,3.66E-05,2123074,-4.436392651,0,
May,5,hybrid,1-May,,H,1,11,4611897,0,0,3.66E-05,4611897,-4.436392651,0,
May,5,hybrid,1-May,,H,4,13,5151698,0,0,3.66E-05,5151698,-4.436392651,0,
May,5,hybrid,1-May,,L,1,9,2839057,0,0,3.66E-05,2839057,-4.436392651,0,
May,5,hybrid,1-May,,L,2,9,3845502,0,0,3.66E-05,3845502,-4.436392651,0,
May,5,hybrid,1-May,,L,3,13,4722607,0,0,3.66E-05,4722607,-4.436392651,0,
May,5,hybrid,1-May,,L,4,11,4733974,0,0,3.66E-05,4733974,-4.436392651,0,
July,5,pennsylvanica,2-May,,L,R,5,1159368,0,0,3.66E-05,1159368,-4.436392651,0,
July,5,pennsylvanica,2-May,,L,L,5,1796132,0,0,3.66E-05,1796132,-4.436392651,0,werid spots
May,5,mandshurica,3-May,,H,L,11,2397847,0,0,3.66E-05,2397847,-4.436392651,0,
May,5,mandshurica,3-May,,L,L,11,2742735,0,0,3.66E-05,2742735,-4.436392651,0,
May,5,mandshurica,3-May,,L,R,11,1580723,0,0,3.66E-05,1580723,-4.436392651,0,
May,5,mandshurica,3-May,,L,R,9,1981538,0,0,3.66E-05,1981538,-4.436392651,0,
July,5,mandshurica,4-May,,L,1,11,3785688,0,0,3.66E-05,3785688,-4.436392651,0,
May,5,nigra,5-May,,H,2,9,3815179,0,0,3.66E-05,3815179,-4.436392651,0,
May,5,nigra,5-May,,L,2,9,2955861,0,0,3.66E-05,2955861,-4.436392651,0,
May,5,nigra,5-May,,L,4,9,4024510,0,0,3.66E-05,4024510,-4.436392651,0,
May,5,pennsylvanica,7-May,,H,L,7,1953476,0,0,3.66E-05,1953476,-4.436392651,0,
May,5,pennsylvanica,7-May,,H,L,7,2730543,0,0,3.66E-05,2730543,-4.436392651,0,
May,5,pennsylvanica,7-May,,H,R,7,2047485,0,0,3.66E-05,2047485,-4.436392651,0,
